noise_level,noise_model,kappa,res_size,seed,effective_kappa,method,final_be,pass_fail
0.0,b_only,1000000.0,1e-06,0,1000000.0,iter_sketch_mom,6.983065255217613e-15,0
0.0,b_only,1000000.0,1e-06,0,1000000.0,sketch_pre_cold,2.0627939209318584e-09,0
0.0,b_only,1000000.0,1e-06,0,1000000.0,sketch_pre_warm,5.79208167741713e-17,1
0.0,b_only,1000000.0,1e-06,0,1000000.0,fossils,4.618417540537649e-18,1
0.0,b_only,1000000.0,1e-06,0,1000000.0,spir,8.638795338065432e-18,1
0.0,b_only,1000000.0,1e-06,0,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,iter_sketch_mom,3.9455998603110905e-15,0
0.0,b_only,1000000.0,1e-06,1,1000000.0,sketch_pre_cold,2.6793807965419774e-09,0
0.0,b_only,1000000.0,1e-06,1,1000000.0,sketch_pre_warm,3.397912949305859e-17,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,fossils,5.335835576024358e-18,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,spir,7.895507665487789e-18,1
0.0,b_only,1000000.0,1e-06,1,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,iter_sketch_mom,1.88419311724802e-13,0
0.0,b_only,1000000.0,1e-06,2,1000000.0,sketch_pre_cold,6.766518332442819e-10,0
0.0,b_only,1000000.0,1e-06,2,1000000.0,sketch_pre_warm,3.2063697470527704e-17,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,fossils,6.793418004780867e-18,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,spir,1.3889886324359226e-17,1
0.0,b_only,1000000.0,1e-06,2,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,iter_sketch_mom,2.770143857977387e-15,0
0.0,b_only,1000000.0,1e-06,3,1000000.0,sketch_pre_cold,1.1344262596744172e-09,0
0.0,b_only,1000000.0,1e-06,3,1000000.0,sketch_pre_warm,1.6271660521674848e-17,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,fossils,5.973083942433782e-18,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,spir,8.164922263325484e-18,1
0.0,b_only,1000000.0,1e-06,3,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,iter_sketch_mom,4.111157640698947e-15,0
0.0,b_only,1000000.0,1e-06,4,1000000.0,sketch_pre_cold,8.626773773180135e-10,0
0.0,b_only,1000000.0,1e-06,4,1000000.0,sketch_pre_warm,4.968876189028606e-17,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,fossils,5.180458737679271e-18,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,spir,1.2944799006601242e-17,1
0.0,b_only,1000000.0,1e-06,4,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,iter_sketch_mom,8.240361044806635e-15,0
0.0,b_only,1000000.0,1e-06,5,1000000.0,sketch_pre_cold,4.086880689030402e-10,0
0.0,b_only,1000000.0,1e-06,5,1000000.0,sketch_pre_warm,3.347738367121599e-17,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,fossils,6.059097211082345e-18,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,spir,1.1363311825500625e-17,1
0.0,b_only,1000000.0,1e-06,5,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,iter_sketch_mom,2.883787381011015e-12,0
0.0,b_only,1000000.0,1e-06,6,1000000.0,sketch_pre_cold,2.4894375808075075e-10,0
0.0,b_only,1000000.0,1e-06,6,1000000.0,sketch_pre_warm,1.8598339151453062e-17,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,fossils,7.341293811392839e-18,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,spir,3.504370390251351e-18,1
0.0,b_only,1000000.0,1e-06,6,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,iter_sketch_mom,2.3504358934748016e-13,0
0.0,b_only,1000000.0,1e-06,7,1000000.0,sketch_pre_cold,3.3519151907678557e-09,0
0.0,b_only,1000000.0,1e-06,7,1000000.0,sketch_pre_warm,6.015289362567075e-17,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,fossils,8.239583083532533e-18,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,spir,1.6127975656985124e-17,1
0.0,b_only,1000000.0,1e-06,7,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,iter_sketch_mom,3.929198041487147e-15,0
0.0,b_only,1000000.0,1e-06,8,1000000.0,sketch_pre_cold,5.927878043532273e-10,0
0.0,b_only,1000000.0,1e-06,8,1000000.0,sketch_pre_warm,4.286009161382206e-17,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,fossils,1.0833691128434781e-17,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,spir,9.484224997191423e-18,1
0.0,b_only,1000000.0,1e-06,8,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,iter_sketch_mom,4.6304862488539e-15,0
0.0,b_only,1000000.0,1e-06,9,1000000.0,sketch_pre_cold,7.698334629581131e-09,0
0.0,b_only,1000000.0,1e-06,9,1000000.0,sketch_pre_warm,3.50216971292416e-17,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,fossils,5.494683159924232e-18,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,spir,1.4646483114046376e-17,1
0.0,b_only,1000000.0,1e-06,9,1000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,iter_sketch_mom,4.87998044777749e-15,0
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,sketch_pre_cold,5.761791406602815e-12,0
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,sketch_pre_warm,6.118787687614168e-17,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,fossils,1.3155287664873971e-17,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,spir,6.173682973338983e-18,1
0.0,b_only,1000000000000.0,1e-06,0,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,iter_sketch_mom,3.584938620715587e-15,0
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,sketch_pre_cold,5.229238865174196e-12,0
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,sketch_pre_warm,1.708150735179152e-17,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,fossils,4.5018105380232355e-18,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,spir,1.8919593974255033e-17,1
0.0,b_only,1000000000000.0,1e-06,1,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,iter_sketch_mom,2.7536814997287647e-13,0
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,sketch_pre_cold,4.6940832131853175e-12,0
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,sketch_pre_warm,2.983644474561294e-17,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,fossils,6.52425543841762e-18,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,spir,3.7455037906105015e-18,1
0.0,b_only,1000000000000.0,1e-06,2,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,iter_sketch_mom,1.9482696396032026e-15,0
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,sketch_pre_cold,5.759863643966688e-12,0
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,sketch_pre_warm,3.8350365560870864e-17,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,fossils,5.887963325614071e-18,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,spir,3.53429792504139e-18,1
0.0,b_only,1000000000000.0,1e-06,3,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,iter_sketch_mom,3.734041117122051e-15,0
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,sketch_pre_cold,5.7460131235699835e-12,0
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,sketch_pre_warm,1.547334588602408e-17,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,fossils,1.1528502020003338e-17,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,spir,1.0614694142468485e-17,1
0.0,b_only,1000000000000.0,1e-06,4,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,iter_sketch_mom,3.2699782295955106e-15,0
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,sketch_pre_cold,4.391691070628511e-12,0
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,sketch_pre_warm,1.5913734079031146e-17,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,fossils,4.768123586653818e-18,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,spir,6.552495792996671e-18,1
0.0,b_only,1000000000000.0,1e-06,5,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,iter_sketch_mom,2.0235796542826217e-12,0
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,sketch_pre_cold,3.832057878180968e-12,0
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,sketch_pre_warm,1.2527587180550327e-17,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,fossils,3.912193099589186e-18,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,spir,1.3703801057661254e-17,1
0.0,b_only,1000000000000.0,1e-06,6,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,iter_sketch_mom,2.5135679590036517e-13,0
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,sketch_pre_cold,5.478667190903124e-12,0
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,sketch_pre_warm,6.822689988418773e-17,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,fossils,1.2116557599686549e-17,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,spir,9.912985307654199e-18,1
0.0,b_only,1000000000000.0,1e-06,7,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,iter_sketch_mom,3.232460144632848e-15,0
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,sketch_pre_cold,3.4232852053337794e-12,0
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,sketch_pre_warm,3.081977787726683e-17,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,fossils,1.2983672373573284e-17,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,spir,4.951988717859536e-18,1
0.0,b_only,1000000000000.0,1e-06,8,1000000000000.0,qr_ref,0.0,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,iter_sketch_mom,3.787952689547969e-15,0
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,sketch_pre_cold,3.998548363807729e-12,0
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,sketch_pre_warm,1.8466410671034743e-17,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,fossils,5.87582702723985e-18,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,spir,1.0963534881124812e-17,1
0.0,b_only,1000000000000.0,1e-06,9,1000000000000.0,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,iter_sketch_mom,4.7116235499313e-15,0
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,sketch_pre_cold,1.623182864976685e-09,0
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,sketch_pre_warm,9.179753102592668e-14,0
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,fossils,9.847389572174934e-18,1
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,spir,1.1547148946128944e-17,1
0.001,a_and_b,1000000.0,1e-06,0,4865.075130759405,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,1,4895.972816978331,iter_sketch_mom,3.998417021346998e-15,0
0.001,a_and_b,1000000.0,1e-06,1,4895.972816978331,sketch_pre_cold,1.0786218132229884e-09,0
0.001,a_and_b,1000000.0,1e-06,1,4895.972816978331,sketch_pre_warm,2.2120030272019726e-13,0
0.001,a_and_b,1000000.0,1e-06,1,4895.972816978331,fossils,9.63541734996927e-18,1
0.001,a_and_b,1000000.0,1e-06,1,4895.972816978331,spir,1.2031037026204724e-17,1
0.001,a_and_b,1000000.0,1e-06,1,4895.972816978331,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,2,4877.769785695579,iter_sketch_mom,5.8064912589858996e-15,0
0.001,a_and_b,1000000.0,1e-06,2,4877.769785695579,sketch_pre_cold,1.5434114925544977e-09,0
0.001,a_and_b,1000000.0,1e-06,2,4877.769785695579,sketch_pre_warm,1.6534381133098555e-13,0
0.001,a_and_b,1000000.0,1e-06,2,4877.769785695579,fossils,1.323397407152972e-17,1
0.001,a_and_b,1000000.0,1e-06,2,4877.769785695579,spir,1.0955235871595504e-17,1
0.001,a_and_b,1000000.0,1e-06,2,4877.769785695579,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,3,4905.408545693673,iter_sketch_mom,1.1310377755450334e-14,0
0.001,a_and_b,1000000.0,1e-06,3,4905.408545693673,sketch_pre_cold,9.189715124491524e-10,0
0.001,a_and_b,1000000.0,1e-06,3,4905.408545693673,sketch_pre_warm,3.60980285606002e-13,0
0.001,a_and_b,1000000.0,1e-06,3,4905.408545693673,fossils,9.304089556657117e-18,1
0.001,a_and_b,1000000.0,1e-06,3,4905.408545693673,spir,7.245370981907395e-18,1
0.001,a_and_b,1000000.0,1e-06,3,4905.408545693673,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,4,4854.060103962044,iter_sketch_mom,4.308654575794699e-15,0
0.001,a_and_b,1000000.0,1e-06,4,4854.060103962044,sketch_pre_cold,2.106011826468452e-09,0
0.001,a_and_b,1000000.0,1e-06,4,4854.060103962044,sketch_pre_warm,6.806681111213288e-13,0
0.001,a_and_b,1000000.0,1e-06,4,4854.060103962044,fossils,1.329325101313457e-17,1
0.001,a_and_b,1000000.0,1e-06,4,4854.060103962044,spir,1.0240608240977015e-17,1
0.001,a_and_b,1000000.0,1e-06,4,4854.060103962044,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,5,4912.977826835713,iter_sketch_mom,3.3443216090107803e-14,0
0.001,a_and_b,1000000.0,1e-06,5,4912.977826835713,sketch_pre_cold,5.056002355013075e-10,0
0.001,a_and_b,1000000.0,1e-06,5,4912.977826835713,sketch_pre_warm,1.7357470169687303e-13,0
0.001,a_and_b,1000000.0,1e-06,5,4912.977826835713,fossils,9.67890915255712e-18,1
0.001,a_and_b,1000000.0,1e-06,5,4912.977826835713,spir,1.377625074704498e-17,1
0.001,a_and_b,1000000.0,1e-06,5,4912.977826835713,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,6,4858.594679167118,iter_sketch_mom,3.2931497137332633e-15,0
0.001,a_and_b,1000000.0,1e-06,6,4858.594679167118,sketch_pre_cold,7.595033936367635e-10,0
0.001,a_and_b,1000000.0,1e-06,6,4858.594679167118,sketch_pre_warm,1.1792584071760524e-12,0
0.001,a_and_b,1000000.0,1e-06,6,4858.594679167118,fossils,1.1205400919049921e-17,1
0.001,a_and_b,1000000.0,1e-06,6,4858.594679167118,spir,1.0353661309817309e-17,1
0.001,a_and_b,1000000.0,1e-06,6,4858.594679167118,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,7,4872.6333451265355,iter_sketch_mom,1.3803393664410897e-14,0
0.001,a_and_b,1000000.0,1e-06,7,4872.6333451265355,sketch_pre_cold,1.61730814383337e-08,0
0.001,a_and_b,1000000.0,1e-06,7,4872.6333451265355,sketch_pre_warm,1.5193162020074644e-12,0
0.001,a_and_b,1000000.0,1e-06,7,4872.6333451265355,fossils,1.3303779183288675e-17,1
0.001,a_and_b,1000000.0,1e-06,7,4872.6333451265355,spir,1.4830719938114147e-17,1
0.001,a_and_b,1000000.0,1e-06,7,4872.6333451265355,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,8,4929.003886194543,iter_sketch_mom,4.701213463089642e-15,0
0.001,a_and_b,1000000.0,1e-06,8,4929.003886194543,sketch_pre_cold,8.773450289566906e-10,0
0.001,a_and_b,1000000.0,1e-06,8,4929.003886194543,sketch_pre_warm,1.3618436754533625e-13,0
0.001,a_and_b,1000000.0,1e-06,8,4929.003886194543,fossils,9.100753167973094e-18,1
0.001,a_and_b,1000000.0,1e-06,8,4929.003886194543,spir,9.153321243472257e-18,1
0.001,a_and_b,1000000.0,1e-06,8,4929.003886194543,qr_ref,0.0,1
0.001,a_and_b,1000000.0,1e-06,9,4871.117433318262,iter_sketch_mom,4.587527135888362e-11,0
0.001,a_and_b,1000000.0,1e-06,9,4871.117433318262,sketch_pre_cold,6.246478911532294e-09,0
0.001,a_and_b,1000000.0,1e-06,9,4871.117433318262,sketch_pre_warm,8.947454188581411e-13,0
0.001,a_and_b,1000000.0,1e-06,9,4871.117433318262,fossils,1.2620688404359702e-17,1
0.001,a_and_b,1000000.0,1e-06,9,4871.117433318262,spir,1.828796356348055e-17,1
0.001,a_and_b,1000000.0,1e-06,9,4871.117433318262,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,0,6220.47870293674,iter_sketch_mom,3.4601535042172793e-10,0
0.001,a_and_b,1000000000000.0,1e-06,0,6220.47870293674,sketch_pre_cold,2.104381226740636e-09,0
0.001,a_and_b,1000000000000.0,1e-06,0,6220.47870293674,sketch_pre_warm,3.5144988757972677e-13,0
0.001,a_and_b,1000000000000.0,1e-06,0,6220.47870293674,fossils,1.2323495632917763e-17,1
0.001,a_and_b,1000000000000.0,1e-06,0,6220.47870293674,spir,1.4054954499065058e-17,1
0.001,a_and_b,1000000000000.0,1e-06,0,6220.47870293674,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,1,6258.9466911636855,iter_sketch_mom,4.7066083026640484e-15,0
0.001,a_and_b,1000000000000.0,1e-06,1,6258.9466911636855,sketch_pre_cold,9.157818064321096e-10,0
0.001,a_and_b,1000000000000.0,1e-06,1,6258.9466911636855,sketch_pre_warm,3.256323699775679e-13,0
0.001,a_and_b,1000000000000.0,1e-06,1,6258.9466911636855,fossils,1.0861363460260405e-17,1
0.001,a_and_b,1000000000000.0,1e-06,1,6258.9466911636855,spir,1.3924782356494746e-17,1
0.001,a_and_b,1000000000000.0,1e-06,1,6258.9466911636855,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,2,6267.2172306485445,iter_sketch_mom,6.37728168155133e-15,0
0.001,a_and_b,1000000000000.0,1e-06,2,6267.2172306485445,sketch_pre_cold,2.3814471223383774e-09,0
0.001,a_and_b,1000000000000.0,1e-06,2,6267.2172306485445,sketch_pre_warm,6.993359475628041e-13,0
0.001,a_and_b,1000000000000.0,1e-06,2,6267.2172306485445,fossils,5.472373038780605e-15,0
0.001,a_and_b,1000000000000.0,1e-06,2,6267.2172306485445,spir,1.1767026267395729e-17,1
0.001,a_and_b,1000000000000.0,1e-06,2,6267.2172306485445,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,3,6288.771482641107,iter_sketch_mom,2.3448374774577815e-14,0
0.001,a_and_b,1000000000000.0,1e-06,3,6288.771482641107,sketch_pre_cold,1.020414212556784e-09,0
0.001,a_and_b,1000000000000.0,1e-06,3,6288.771482641107,sketch_pre_warm,2.6950138989800165e-13,0
0.001,a_and_b,1000000000000.0,1e-06,3,6288.771482641107,fossils,1.2778966677016432e-15,0
0.001,a_and_b,1000000000000.0,1e-06,3,6288.771482641107,spir,1.3050395195657117e-17,1
0.001,a_and_b,1000000000000.0,1e-06,3,6288.771482641107,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,4,6304.614278565706,iter_sketch_mom,8.48723390278292e-14,0
0.001,a_and_b,1000000000000.0,1e-06,4,6304.614278565706,sketch_pre_cold,3.55186354234798e-10,0
0.001,a_and_b,1000000000000.0,1e-06,4,6304.614278565706,sketch_pre_warm,6.311100921566259e-13,0
0.001,a_and_b,1000000000000.0,1e-06,4,6304.614278565706,fossils,1.6761619677791678e-17,1
0.001,a_and_b,1000000000000.0,1e-06,4,6304.614278565706,spir,1.635747031598251e-17,1
0.001,a_and_b,1000000000000.0,1e-06,4,6304.614278565706,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,5,6325.4558766973405,iter_sketch_mom,3.593069407006082e-15,0
0.001,a_and_b,1000000000000.0,1e-06,5,6325.4558766973405,sketch_pre_cold,5.551226000329615e-10,0
0.001,a_and_b,1000000000000.0,1e-06,5,6325.4558766973405,sketch_pre_warm,8.297644058558256e-14,0
0.001,a_and_b,1000000000000.0,1e-06,5,6325.4558766973405,fossils,1.0875941250983748e-17,1
0.001,a_and_b,1000000000000.0,1e-06,5,6325.4558766973405,spir,6.1707602893962714e-18,1
0.001,a_and_b,1000000000000.0,1e-06,5,6325.4558766973405,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,6,6283.433912865912,iter_sketch_mom,3.261418804806525e-15,0
0.001,a_and_b,1000000000000.0,1e-06,6,6283.433912865912,sketch_pre_cold,4.437810912414123e-10,0
0.001,a_and_b,1000000000000.0,1e-06,6,6283.433912865912,sketch_pre_warm,2.7805547982687983e-13,0
0.001,a_and_b,1000000000000.0,1e-06,6,6283.433912865912,fossils,1.4193195175283516e-17,1
0.001,a_and_b,1000000000000.0,1e-06,6,6283.433912865912,spir,1.1038793435101893e-17,1
0.001,a_and_b,1000000000000.0,1e-06,6,6283.433912865912,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,7,6279.713641222015,iter_sketch_mom,2.0004287420495936e-14,0
0.001,a_and_b,1000000000000.0,1e-06,7,6279.713641222015,sketch_pre_cold,3.0252827977239887e-09,0
0.001,a_and_b,1000000000000.0,1e-06,7,6279.713641222015,sketch_pre_warm,6.566208619690605e-13,0
0.001,a_and_b,1000000000000.0,1e-06,7,6279.713641222015,fossils,1.8359508999564048e-17,1
0.001,a_and_b,1000000000000.0,1e-06,7,6279.713641222015,spir,3.887134401492975e-17,1
0.001,a_and_b,1000000000000.0,1e-06,7,6279.713641222015,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,8,6319.26296132441,iter_sketch_mom,3.969348937052386e-15,0
0.001,a_and_b,1000000000000.0,1e-06,8,6319.26296132441,sketch_pre_cold,1.7364357093281864e-09,0
0.001,a_and_b,1000000000000.0,1e-06,8,6319.26296132441,sketch_pre_warm,1.505168612726297e-13,0
0.001,a_and_b,1000000000000.0,1e-06,8,6319.26296132441,fossils,3.245042306328532e-17,1
0.001,a_and_b,1000000000000.0,1e-06,8,6319.26296132441,spir,1.4440764274489344e-17,1
0.001,a_and_b,1000000000000.0,1e-06,8,6319.26296132441,qr_ref,0.0,1
0.001,a_and_b,1000000000000.0,1e-06,9,6284.875944786283,iter_sketch_mom,3.8940104779542165e-15,0
0.001,a_and_b,1000000000000.0,1e-06,9,6284.875944786283,sketch_pre_cold,4.341811159982082e-10,0
0.001,a_and_b,1000000000000.0,1e-06,9,6284.875944786283,sketch_pre_warm,1.6007494160775322e-13,0
0.001,a_and_b,1000000000000.0,1e-06,9,6284.875944786283,fossils,1.8314747799697062e-17,1
0.001,a_and_b,1000000000000.0,1e-06,9,6284.875944786283,spir,1.908910560289632e-17,1
0.001,a_and_b,1000000000000.0,1e-06,9,6284.875944786283,qr_ref,0.0,1
0.005,a_and_b,1000000.0,1e-06,0,979.7160124544171,iter_sketch_mom,3.957547743535817e-15,0
0.005,a_and_b,1000000.0,1e-06,0,979.7160124544171,sketch_pre_cold,1.3111228402989633e-09,0
0.005,a_and_b,1000000.0,1e-06,0,979.7160124544171,sketch_pre_warm,3.4734985875317434e-13,0
0.005,a_and_b,1000000.0,1e-06,0,979.7160124544171,fossils,2.878022318984905e-14,0
0.005,a_and_b,1000000.0,1e-06,0,979.7160124544171,spir,1.397565725864864e-17,1
